name,address,phone,rating,review_count,timing,url,images,source_category
Spandan Hospital,"Police Quarter Road Kurunda, Basmath",08460232325,4.8,23,,,https://content.jdmagicbox.com/comp/hingoli/j8/9999p2456.2456.190903130911.s2j8/catalogue/spandan-hospital-hingoli-0ejq4t3bef-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/j8/9999p2456.2456.190903130911.s2j8/catalogue/spandan-hospital-basmathnagar-basmath-paediatricians-t9xxa1vwfa-250.jpg?w=640&q=75,Hospitals
Vedant Hospital Children and Maternity Home,"HOUSING SOCIETY ROAD Kurunda, Basmath",08460417598,4.1,21,,,https://content.jdmagicbox.com/comp/hingoli/v8/9999p2456.2456.201124155703.y9v8/catalogue/-gopg268631-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/v8/9999p2456.2456.201124155703.y9v8/catalogue/vedant-hospital-basmathnagar-basmath-children-hospitals-c3zqolng2h-250.jpg?w=640&q=75,Hospitals
Hambarde Surgical Hospital,"Nanded Malegaon Road Harsh Nagar, Basmath",Show Number,4.7,113,,,https://content.jdmagicbox.com/comp/hingoli/u1/9999p2456.2456.231208130637.s4u1/catalogue/xgifgy5d0euciyz-u183fodn1l-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/basmath/u1/9999p2456.2456.231208130637.s4u1/catalogue/hambarde-surgical-hospital-basmat-basmath-piles-doctors-csz0bnxh8g-250.jpg?w=640&q=75,Hospitals
Vivekanand Hospital & Critical Care,"Bahirji College Road Shivtirath Basmath, Basmath",Show Number,4.5,23,,,https://content.jdmagicbox.com/comp/hingoli/n5/9999p2456.2456.240104221047.c5n5/catalogue/vivekanand-hospital-and-critical-care-basmath-98h5kduy9v-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/n5/9999p2456.2456.240104221047.c5n5/catalogue/vivekanand-hospital-and-critical-care-basmath-hdqlbt179y-250.jpg?w=640&q=75,Hospitals
Shivam Hospital,"Parbhani Road Shivtirath Basmath, Basmath",Show Number,4.6,18,,,https://content.jdmagicbox.com/comp/hingoli/g1/9999p2456.2456.140531205932.j9g1/catalogue/shivam-hospital-basmathnagar-hingoli-hospitals-11w4icqfky-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/g1/9999p2456.2456.140531205932.j9g1/catalogue/shivam-hospital-basmathnagar-basmath-paediatricians-443e9d7a4x-250.jpg?w=640&q=75,Hospitals
Bagal Hospital,"Mondha Road New Mondha Road, Basmath",Show Number,4.6,16,,,https://content.jdmagicbox.com/comp/hingoli/u8/9999p2456.2456.180304162704.u7u8/catalogue/bagal-hospital-and-nursing-home-hingoli-00gabeytua-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/u8/9999p2456.2456.180304162704.u7u8/catalogue/bagal-hospital-and-nursing-home-hingoli-1y9ffzfbgr-250.jpg?w=640&q=75,Hospitals
Dasare Orthopedic and Dental Hospital,"HOUSING SOCIETY Zenda Chowk Road, Basmath",Show Number,3.6,17,,,https://content.jdmagicbox.com/comp/hingoli/w6/9999p2456.2456.180209180858.k4w6/catalogue/dasare-orthopedic-and-dental-hospital-basmathnagar-hingoli-dental-hospitals-0cjbhk5ybi-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/w6/9999p2456.2456.180209180858.k4w6/catalogue/dasare-orthopedic-and-dental-hospital-basmathnagar-hingoli-dental-hospitals-bfbe9pzk5n-250.jpg?w=640&q=75,Hospitals
Sant Namdev Multispeciality Hospital,"Talab Katta Road Hingoli HO, Hingoli",09972228988,3.9,20,,"https://www.justdial.com/Hingoli/Sant-Namdev-Multispeciality-Hospital-Near-Ambika-Talkies-Hingoli-Ho/9999P2456-2456-210218184100-K1V5_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Basmath,%20Basmath%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=",https://content.jdmagicbox.com/comp/hingoli/v5/9999p2456.2456.210218184100.k1v5/catalogue/-rgqz25fxqt-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/v5/9999p2456.2456.210218184100.k1v5/catalogue/-ixy0i3w1ev-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/trust_2x.gif | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Hospitals
Nakade Multispeciality Hospital,"Zilla Parishad High School Road Hingoli Ho, Hingoli",Show Number,4.2,51,,"https://www.justdial.com/Hingoli/Nakade-Multispeciality-Hospital-Opposite-Water-Tank-Hingoli-Ho/9999P2456-2456-171003143526-S8X5_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Basmath,%20Basmath%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=",https://content.jdmagicbox.com/comp/hingoli/x5/9999p2456.2456.171003143526.s8x5/catalogue/nakade-multispeciality-hospital-hingoli-ho-hingoli-hospitals-bzjplowjpk-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/x5/9999p2456.2456.171003143526.s8x5/catalogue/nakade-multispeciality-hospital-hingoli-vzh4fetbht-250.jpg?w=640&q=75,Hospitals
Snehal Hospital And Maternity Home,"Railway Station Road Hingoli Ho, Hingoli",Show Number,4.5,34,,"https://www.justdial.com/Hingoli/Snehal-Hospital-And-Maternity-Home-Opposite-Old-Sp-Office-Hingoli-Ho/9999P2456-2456-181127165753-J6D7_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Basmath,%20Basmath%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=",https://content.jdmagicbox.com/v2/comp/hingoli/d7/9999p2456.2456.181127165753.j6d7/catalogue/snehal-hospital-and-maternity-home-hingoli-h-o-hingoli-hospitals-jaoq3ycuzr-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/d7/9999p2456.2456.181127165753.j6d7/catalogue/snehal-hospital-and-maternity-home-hingoli-h-o-hingoli-hospitals-46jxzr7jh3-250.jpg?w=640&q=75,Hospitals
Shivam Hospital,"Jahagiri Basmat Jahagiri, Basmath",,4.1,13,,,https://content.jdmagicbox.com/comp/basmath/l8/9999p2456.2456.220624212059.n5l8/catalogue/shivam-hospital-jahagiri-basmath-hospitals-G5UXii41YS-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/service_catalogue/hospitals-attr-pleurisy-treatment-hos1498-4-250.jpg?w=640&q=75,Hospitals
Patange Multispeciality Hospital&Prasuti V stree Rugnalay,"Nanded Road Bahirji Nagar, Basmath",Show Number,4.8,11,,,https://content.jdmagicbox.com/comp/hingoli/r7/9999p2456.2456.180331122031.y5r7/catalogue/patange-multispeciality-hospital-and-prasuti-v-stree-rugnalay-basmathnagar-hingoli-hospitals-ffayvdz97f-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/r7/9999p2456.2456.180331122031.y5r7/catalogue/patange-multispeciality-hospital-and-prasuti-v-stree-rugnalay-basmathnagar-hingoli-hospitals-1yqnkquoc9-250.jpg?w=640&q=75,Hospitals
Omkar Hospital,"Bus Stand Vishnu Nagar Patil Nagar Basmat Patil Nagar, Basmath",,4.8,11,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-18-250.jpg?w=640&q=75,Hospitals
Primary Health Center,"Girgaon, Basmath",Show Number,4.0,13,,,https://content.jdmagicbox.com/comp/basmath/x1/9999p2456.2456.170208161948.g4x1/catalogue/primary-health-center-girgaon-basmath-hospitals-2D7h8KBjGH-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/x1/9999p2456.2456.170208161948.g4x1/catalogue/primary-health-center-girgaon-basmath-hospitals-0OjFzKf49K-250.jpg?w=640&q=75,Hospitals
Care Hospital,"Police Quarter New Mondha Road, Basmath",Show Number,4.2,10,,,https://content.jdmagicbox.com/comp/hingoli/v3/9999p2456.2456.190726185117.p8v3/catalogue/care-hospital-hingoli-rpprfokbh5-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/v3/9999p2456.2456.190726185117.p8v3/catalogue/care-hospital-hingoli-11fm0fqgae-250.jpg?w=640&q=75,Hospitals
Sahara Life Care Hospital,"Main Road Somwar Peth, Basmath",Show Number,4.6,9,,,https://content.jdmagicbox.com/comp/hingoli/b8/9999p2456.2456.191127161300.w8b8/catalogue/sahara-life-care-hospital-hingoli-0ynbpanxnv-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/b8/9999p2456.2456.191127161300.w8b8/catalogue/sahara-life-care-hospital-hingoli-c8z0hikb19-250.jpg?w=640&q=75,Hospitals
Vasmat Hospital,"Basmat Khajipura, Basmath",Show Number,4.2,8,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-23-250.jpg?w=640&q=75,Hospitals
Narwade Hospital,"Patil Nagar Basmat Laxmi Nagar, Basmath",Show Number,4.7,7,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-25-250.jpg?w=640&q=75,Hospitals
Shree Sant Tukaram Hospital Maternity And Nursing Home,"Kurunda, Basmath",Show Number,4.6,7,,,https://images.jdmagicbox.com/comp/def_content/maternity-hospitals/shutterstock-552209281-maternity-hospitals-8-kl5gt-250.jpg?w=640&q=75,Hospitals
Dasre Hospital,"Basmat Khajipura, Basmath",Show Number,3.5,9,,,https://images.jdmagicbox.com/comp/def_content/hospitals/hospital-1-hospitals-26-lrxds-250.jpg?w=640&q=75,Hospitals
Waghmare Hospital,"Vishnu Nagar Patil Nagar Basmath Patil Nagar, Basmath",Show Number,3.1,9,,,https://content.jdmagicbox.com/v2/comp/basmath/p3/9999p2456.2456.220618233104.y1p3/catalogue/waghmare-hospital-patil-nagar-basmath-hospitals-NUuIJiDN51-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/service_catalogue/hospitals-attr-sports-fracture-rehabilitation-hos1115-8-250.jpg?w=640&q=75,Hospitals
Sub District Hospital,"Khajipura Basmat Khajipura, Basmath",,2.9,9,,,https://content.jdmagicbox.com/comp/def_content_category/pmjay-scheme-hospitals/88b6ae8f30-pmjay-scheme-hospitals-2-udm3l-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content_category/pmjay-scheme-hospitals/53828fff89-pmjay-scheme-hospitals-4-vppxr-250.jpg?w=640&q=75,Hospitals
Sushrut Ayurved Chikitsalay,"Nanded Road Harsh Nagar, Basmath",Show Number,4.3,6,,,https://content.jdmagicbox.com/comp/hingoli/d2/9999p2456.2456.181214031418.d1d2/catalogue/sushrut-ayurved-chikitsalay-hingoli-ayurvedic-treatment-centres-lazdarp9dy-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/d2/9999p2456.2456.181214031418.d1d2/catalogue/sushrut-ayurved-chikitsalay-jawala-bazar-hingoli-hingoli-ayurvedic-treatment-centres-d7uzjz3zaf-250.jpg?w=640&q=75,Hospitals
Ganraj Hospital.,"Main Road Aral, Basmath",Show Number,4.1,6,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-19-250.jpg?w=640&q=75,Hospitals
Vasmath Hospital,"Parbhani Road Kapad Lane, Basmath",Show Number,4.5,5,,,https://images.jdmagicbox.com/comp/def_content/children-hospitals/honlc8dw2i-children-hospitals-9-keptu-250.jpg?w=640&q=75,Hospitals
Kharate Child Hospital Maternity Home,"Kharate Child Hospital Maternity Home Kurunda, Basmath",Show Number,3.6,5,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-7-250.jpg?w=640&q=75,Hospitals
Rainbow Kidz Pediatric Hospital,"Basmat Khajipura, Basmath",,3.5,4,,,https://images.jdmagicbox.com/comp/def_content/nursing-institutes/5-nursing-institutes-8-e2n29-250.jpg?w=640&q=75,Hospitals
Garbhakur Maternity And Nursing Home,"Doctor Lane Kurunda, Basmath",,4.3,3,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-21-250.jpg?w=640&q=75,Hospitals
Siddhewar Collection,"Main Road Kurunda, Basmath",Show Number,4.3,3,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-2-250.jpg?w=640&q=75,Hospitals
Vighanharta Bal Rugnalay,"Nanded Road Harsh Nagar, Basmath",Show Number,4.3,3,,,https://content.jdmagicbox.com/comp/hingoli/q3/9999p2456.2456.181219215916.d2q3/catalogue/vighanharta-bal-rugnalay-hingoli-a96zjzbnaj-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/q3/9999p2456.2456.181219215916.d2q3/catalogue/vighanharta-bal-rugnalay-hingoli-1dj6j6fv56-250.jpg?w=640&q=75,Hospitals
Devkrupa Hospital,"Basmat Khajipura Kapad Lane, Basmath",Show Number,4.3,3,,,https://images.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-25-250.jpg?w=640&q=75,Hospitals
Mathurai Surgical Hospital,"New Mondha Road, Basmath",Show Number,5.0,2,,,https://content.jdmagicbox.com/comp/hingoli/y7/9999p2456.2456.200910235035.d6y7/catalogue/mathurai-surgical-hospital-basmathnagar-basmath-hospitals-a0l8zxfc20-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/y7/9999p2456.2456.200910235035.d6y7/catalogue/mathurai-surgical-hospital-basmathnagar-basmath-hospitals-faall0tl7v-250.jpg?w=640&q=75,Hospitals
