name,address,phone,rating,review_count,timing,url,images,source_category
Dnyansadhna Pratishthan Educational Institution Parbhani,"Jintur Road Shivaji Nagar, Hingoli",Show Number,3.2,3,,https://www.justdial.com/Hingoli/Dnyansadhna-Pratishthan-Educational-Institution-Parbhani-Dharmapuri-Phata-Tq-And-Dist-Parbhani-431401-Shivaji-Nagar/9999P2456-2456-230822135310-H1N3_BZDET?trkid=&term=&ncatid=10106380&area=&search=Top%20Educational%20Institutions%20:%20Colleges%20in%20Hingoli&mncatname=Colleges&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Colleges&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/n3/9999p2456.2456.230822135310.h1n3/catalogue/t9ydpsvr0bvjoaq-l5sx5592wv-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/n3/9999p2456.2456.230822135310.h1n3/catalogue/seh8ylnkkkplsd3-msw8vpvb4g-250.jpg?w=640&q=75,Colleges
Adarsh Education Societys Art Commerce Science College,"Akola Road Sawarkar Nagar, Hingoli",Show Number,4.2,513,,https://www.justdial.com/Hingoli/Adarsh-Education-Societys-Art-Commerce-Science-College-Sawarkar-Nagar/9999P2456-2456-130930105703-U2C8_BZDET?trkid=&term=&ncatid=10106380&area=&search=Top%20Educational%20Institutions%20:%20Colleges%20in%20Hingoli&mncatname=Colleges&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Colleges&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/c8/9999p2456.2456.130930105703.u2c8/catalogue/adarsh-education-societys-art-commerce-science-college-hingoli-ho-hingoli-colleges-TPd9gZTDvB-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/c8/9999p2456.2456.130930105703.u2c8/catalogue/adarsh-education-societys-art-commerce-science-college-hingoli-ho-hingoli-colleges-79PRljywXG-250.jpg?w=640&q=75,Colleges
Laxmibai Gorule ( L.G ) College Of Physiotherapy Washim,"Pusad Road Pusad Naka, Washim",09980138262,4.5,47,,,https://content.jdmagicbox.com/v2/comp/washim/q6/9999p7252.7252.230221191648.s4q6/catalogue/laxmibai-gorule-college-of-physiotherapy-pusad-naka-washim-colleges-9m8tsldgmf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/washim/q6/9999p7252.7252.230221191648.s4q6/catalogue/laxmibai-gorule-l-g-college-of-physiotherapy-washim-pusad-naka-washim-colleges-1y7q2afc62-250.jpg?w=640&q=75,Colleges
Mahatma Phule Paramedical College,"Collector Colony Patrakar Colony, Akola",Show Number,4.2,348,,,https://content.jdmagicbox.com/v2/comp/akola/dc/9999p2424.2424.1230640579h8p3w4.dc/catalogue/mahatma-phule-paramedical-college-akola-colleges-nca0oxghsu-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/akola/dc/9999p2424.2424.1230640579h8p3w4.dc/catalogue/mahatma-phule-paramedical-college-patrakar-colony-akola-pharmacy-colleges-ra4aj283dc-250.jpg?w=640&q=75,Colleges
Raosaheb Patil Danve College Of Pharmacy,"Jalna Aurangabad Highway Badnapur, Jalna",Show Number,4.2,136,,,https://content.jdmagicbox.com/v2/comp/jalna/g1/9999p2482.2482.190819152336.w6g1/catalogue/raosaheb-patil-danve-college-of-pharmacy-badnapur-jalna-pharmacy-colleges-grejlquyk9-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/jalna/g1/9999p2482.2482.190819152336.w6g1/catalogue/raosaheb-patil-danve-college-of-pharmacy-badnapur-jalna-colleges-jt5666hj7a-250.jpg?w=640&q=75,Colleges
Rajkunwar College Waghrul Jahangir,"Jalna Deulgaonraja Road Waghrul, Jalna",08123855021,4.1,96,,,https://content.jdmagicbox.com/comp/jalna/a7/9999p2482.2482.150709155246.u2a7/catalogue/rajkunwar-college-jalna-ho-jalna-colleges-1f05ntx-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/jalna/a7/9999p2482.2482.150709155246.u2a7/catalogue/rajkunwar-college-waghrul-jalna-science-colleges-s74cp9863e-250.jpg?w=640&q=75,Colleges
I N S D International School Of Design,"Bhagya Nagar Road Bhagya Nagar Road, Nanded",08401224198,4.3,17,,,https://content.jdmagicbox.com/comp/nanded/b3/9999p2462.2462.230702104001.c5b3/catalogue/international-school-of-design-nanded-9j3dpvec0y-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/nanded/b3/9999p2462.2462.230702104001.c5b3/catalogue/international-school-of-design-bhagya-nagar-road-nanded-computer-training-institutes-31g1a3rlzs-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Colleges
Navrachna Pratishthan,"Jintur Road New Mondha, Parbhani",Show Number,4.3,72,,,https://content.jdmagicbox.com/comp/parbhani/l7/9999p2452.2452.110805145448.q8l7/catalogue/navrachna-pratishthan-parbhani-ho-parbhani-schools-j2h4ea4iav-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/parbhani/l7/9999p2452.2452.110805145448.q8l7/catalogue/navrachna-pratishthan-parbhani-ho-parbhani-schools-k2lldj2z5q-250.jpg?w=640&q=75,Colleges
Vibrant Education,"Tukaram Chowk Tilak Road, Akola",Show Number,4.2,96,,,https://content.jdmagicbox.com/comp/akola/p4/9999px724.x724.181205081720.q6p4/catalogue/vibrant-education-akola-ho-akola-colleges-xht5d3a7y3-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/akola/p4/9999px724.x724.181205081720.q6p4/catalogue/vibrant-education-akola-ho-akola-colleges-33ehsjw0rw-250.jpg?w=640&q=75,Colleges
Vijendra Kabra College Of Social Work,"Khokdpura Banjara Colony, Aurangabad-Maharashtra",08123362897,4.0,3,,,https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/w7/9999px240.x240.250310143822.a2w7/catalogue/vijendra-kabra-college-of-social-work-banjara-colony-aurangabad-maharashtra-colleges-7rftyyn2o5-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/w7/9999px240.x240.250310143822.a2w7/catalogue/vijendra-kabra-college-of-social-work-banjara-colony-aurangabad-maharashtra-colleges-p6akkumavz-250.jpg?w=640&q=75,Colleges
