name,address,phone,rating,review_count,timing,url,images,source_category
Nakade Multispeciality Hospital,"Zilla Parishad High School Road Hingoli Ho, Hingoli",Show Number,4.2,51,,https://www.justdial.com/Hingoli/Nakade-Multispeciality-Hospital-Opposite-Water-Tank-Hingoli-Ho/9999P2456-2456-171003143526-S8X5_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/x5/9999p2456.2456.171003143526.s8x5/catalogue/nakade-multispeciality-hospital-hingoli-ho-hingoli-hospitals-bzjplowjpk-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/x5/9999p2456.2456.171003143526.s8x5/catalogue/nakade-multispeciality-hospital-hingoli-vzh4fetbht-250.jpg?w=640&q=75,Doctors
Sant Namdev Multispeciality Hospital,"Talab Katta Road Hingoli HO, Hingoli",09972228988,3.9,20,,https://www.justdial.com/Hingoli/Sant-Namdev-Multispeciality-Hospital-Near-Ambika-Talkies-Hingoli-Ho/9999P2456-2456-210218184100-K1V5_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/v5/9999p2456.2456.210218184100.k1v5/catalogue/-rgqz25fxqt-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/v5/9999p2456.2456.210218184100.k1v5/catalogue/-ixy0i3w1ev-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/trust_2x.gif | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Doctors
Satpute Multispeciality Hospital,"New Mondha Road New Mondha Road, Basmath",07383580950,4.8,10,,,https://content.jdmagicbox.com/comp/hingoli/i5/9999p2456.2456.210219211450.s1i5/catalogue/satpute-multispeciality-hospital-basmatnagar-basmath-general-physician-doctors-6k3jd6p7rf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/i5/9999p2456.2456.210219211450.s1i5/catalogue/satpute-multispeciality-hospital-basmatnagar-basmath-general-physician-doctors-pdk163s01b-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Doctors
Sankalp Hospital,"Beside Tehara Hospital Tapdiya Nagar, Hingoli",08105008489,5.0,17,,https://www.justdial.com/Hingoli/Sankalp-Hospital-Tapdiya-Nagar/9999P2456-2456-231019090135-M4A3_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a3/9999p2456.2456.231019090135.m4a3/catalogue/sankalp-hospital-tapdiya-nagar-hingoli-hospitals-4jk0g5bgvl-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a3/9999p2456.2456.231019090135.m4a3/catalogue/sankalp-hospital-tapdiya-nagar-hingoli-hospitals-swq3h7ohxs-250.jpg?w=640&q=75,Doctors
Shree Shivam Hospital and Critical Care Centre,"Narayan Nagar, Hingoli",07383268283,4.4,19,,https://www.justdial.com/Hingoli/Shree-Shivam-Hospital-and-Critical-Care-Centre-Narayan-Nagar-Narayan-Nagar/9999P2456-2456-211103142354-P9I2_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/i2/9999p2456.2456.211103142354.p9i2/catalogue/shree-shivam-hospital-and-critical-care-centre-hingoli-general-physician-doctors-8ejli7f7as-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/i2/9999p2456.2456.211103142354.p9i2/catalogue/shree-shivam-hospital-and-critical-care-centre-hingoli-general-physician-doctors-5iauaxig01-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Doctors
Snehal Hospital And Maternity Home,"Railway Station Road Hingoli Ho, Hingoli",Show Number,4.5,34,,https://www.justdial.com/Hingoli/Snehal-Hospital-And-Maternity-Home-Opposite-Old-Sp-Office-Hingoli-Ho/9999P2456-2456-181127165753-J6D7_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/d7/9999p2456.2456.181127165753.j6d7/catalogue/snehal-hospital-and-maternity-home-hingoli-h-o-hingoli-hospitals-jaoq3ycuzr-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/d7/9999p2456.2456.181127165753.j6d7/catalogue/snehal-hospital-and-maternity-home-hingoli-h-o-hingoli-hospitals-46jxzr7jh3-250.jpg?w=640&q=75,Doctors
Aura Healthcare,"Brahmanivas 2 Noida Sector 110, Noida",09845436559,4.2,22,,,https://content.jdmagicbox.com/v2/comp/delhi/l2/011pxx11.xx11.250826180718.q4l2/catalogue/aura-healthcare-noida-sector-110-noida-physiotherapists-7089aivk72-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/delhi/l2/011pxx11.xx11.250826180718.q4l2/catalogue/aura-healthcare-noida-sector-110-noida-physiotherapists-08rb7buhsu-250.jpg?w=640&q=75,Doctors
Muskan Hospital Surgical and Laser Center,"Akola Road Anand Nagar, Hingoli",Show Number,4.8,43,,https://www.justdial.com/Hingoli/Muskan-Hospital-Surgical-and-Laser-Center-Near-Nisarg-Water-Supplier-Oppo-Hanuman-Mandir-Anand-Nagar/9999P2456-2456-220727113455-Z2Q3_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/q3/9999p2456.2456.220727113455.z2q3/catalogue/-nz0peye6yr-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/q3/9999p2456.2456.220727113455.z2q3/catalogue/muskan-hospital-surgical-and-laser-center-anand-nagar-hingoli-general-physician-doctors-jpa9b1feos-250.jpg?w=640&q=75,Doctors
Kondewar Toshniwal Critical Care Hospital,"Akola Road Siddharth Nagar, Hingoli",Show Number,4.8,20,,https://www.justdial.com/Hingoli/Kondewar-Toshniwal-Critical-Care-Hospital-In-Front-Of-Peoples-Bank-Siddharth-Nagar/9999P2456-2456-210622150454-T7F9_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/f9/9999p2456.2456.210622150454.t7f9/catalogue/kondewar-toshniwal-critical-care-hospital-hingoli-hingoli-cardiologists-vizey69k94-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/f9/9999p2456.2456.210622150454.t7f9/catalogue/kondewar-toshniwal-critical-care-hospital-hingoli-hingoli-general-physician-doctors-grecg1lyma-250.jpg?w=640&q=75,Doctors
Chhatrapati Multispeciality Hospital,"Tapidiya Estate NTC Siddharth Nagar, Hingoli",,4.4,10,,https://www.justdial.com/Hingoli/Chhatrapati-Multispeciality-Hospital-Siddharth-Nagar/9999P2456-2456-210927142715-X3E2_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/e2/9999p2456.2456.210927142715.x3e2/catalogue/-pcplng9om2-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/e2/9999p2456.2456.210927142715.x3e2/catalogue/chhatrapati-multispeciality-hospital-hingoli-thyroid-cancer-doctors-zqm226d7cj-250.jpg?w=640&q=75,Doctors
Spandan Hospital Icu,"Vasmat Road Main Road Parbhani Shivaji Nagar, Hingoli",Show Number,3.0,2,,https://www.justdial.com/Hingoli/Spandan-Hospital-Icu-Vishnu-Nagar-Parbhani-Shivaji-Nagar/9999P2456-2456-220719163443-S7A5_BZDET?trkid=&term=&ncatid=10892680&area=&search=General%20Physician%20Doctors%20in%20Hingoli&mncatname=General%20Physician%20Doctors&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a5/9999p2456.2456.220719163443.s7a5/catalogue/-3q2bowlygp-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a5/9999p2456.2456.220719163443.s7a5/catalogue/-1r2ugzl8vf-250.jpg?w=640&q=75,Doctors
