name,address,phone,rating,review_count,timing,url,images,source_category
Siddhivinayak Agencies,"Zilla Parishad Road Siddharth Nagar, Hingoli",Show Number,4.3,36,,https://www.justdial.com/Hingoli/Siddhivinayak-Agencies-Beside-Nakade-Hospital-Siddharth-Nagar/9999P2456-2456-190316193354-Q4D3_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/d3/9999p2456.2456.190316193354.q4d3/catalogue/siddhivinayak-agencies-hingoli-hingoli-electronic-goods-showrooms-ohrjywqzd1-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/d3/9999p2456.2456.190316193354.q4d3/catalogue/siddhivinayak-agencies-hingoli-hingoli-electronic-goods-showrooms-xpmvdpgtni-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Electronics-Shops
Om Sai Enterprises,"Mondha Rodh Basmath Basmath, Basmath",08904976759,4.7,8,,,https://content.jdmagicbox.com/v2/comp/hingoli/d7/9999p2456.2456.231111213131.r1d7/catalogue/om-sai-enterprises-basmath-basmath-electronic-goods-showrooms-1a176sod44-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/d7/9999p2456.2456.231111213131.r1d7/catalogue/om-sai-enterprises-basmath-basmath-electronic-goods-showrooms-nlvoihuuz4-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Electronics-Shops
Shridhan Enterprises,"Railway Station Road Siddharth Nagar, Hingoli",Show Number,4.7,94,,https://www.justdial.com/Hingoli/Shridhan-Enterprises-Near-Lic-Office-Siddharth-Nagar/9999P2456-2456-180405184836-H7N9_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/n9/9999p2456.2456.180405184836.h7n9/catalogue/shridhan-enterprises-hingoli-mobile-phone-dealers-5tlijeutjk-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/n9/9999p2456.2456.180405184836.h7n9/catalogue/shridhan-enterprises-hingoli-h-o-hingoli-mobile-phone-dealers-1q3tnu2tnd-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Electronics-Shops
Reliance Digital Xpress,"Post Office Road Siddharth Nagar, Hingoli",Show Number,3.7,78,,https://www.justdial.com/Hingoli/Reliance-Digital-Xpress-Siddharth-Nagar/9999P2456-2456-200702205628-Y4E6_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/e6/9999p2456.2456.200702205628.y4e6/catalogue/reliance-digital-xpress-siddharth-nagar-hingoli-ac-dealers-FBN4Hi4unq-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/e6/9999p2456.2456.200702205628.y4e6/catalogue/reliance-digital-xpress-siddharth-nagar-hingoli-ac-dealers-iDugxg7qUm-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/newprot_w/offer_white.svg,Electronics-Shops
Jio Digial Life (Relience Digital Express Mini),"Post Office Road Siddharth Nagar, Hingoli",Show Number,4.2,64,,https://www.justdial.com/Hingoli/Jio-Digial-Life-Relience-Digital-Express-Mini-Near-Akre-Medical-Jain-Mandir-Opposite-Liberty-Medical-Nama-Chowk-Siddharth-Nagar/9999P2456-2456-170710145929-F7F4_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/f4/9999p2456.2456.170710145929.f7f4/catalogue/jio-digial-life-relience-digital-express-mini--basmathnagar-hingoli-9twzzs7bfy-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content_category/4g-wifi-router-dealers-reliance-jio/reliance-jio-4g-wifi-router-jiofi-4-4g-wifi-router-dealers-reliance-jio-1-8wt3s-250.jpg?w=640&q=75,Electronics-Shops
Mi Store,"Parbhani Road Gondiya Ghungarde Hadgaon Road, Basmath",Show Number,4.4,56,,,https://content.jdmagicbox.com/comp/hingoli/a7/9999p2456.2456.190824123322.w5a7/catalogue/mi-store-hingoli-i95jiy4ioq-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a7/9999p2456.2456.190824123322.w5a7/catalogue/mi-store-hingoli-1zegdnb9qa-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/newprot_w/offer_white.svg,Electronics-Shops
Jio,"Hingoli Road Mastanshah Nagar, Hingoli",Show Number,4.0,47,,https://www.justdial.com/Hingoli/Jio-Near-Jain-Mandir-Mastanshah-Nagar/9999P2456-2456-180130182753-Y6J8_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/j8/9999p2456.2456.180130182753.y6j8/catalogue/jio-hingoli-ho-hingoli-jio-digital-life-galleries-t6w2hl2tur-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/j8/9999p2456.2456.180130182753.y6j8/catalogue/jio-hingoli-ho-hingoli-4g-wifi-router-dealers-mqg40ryrz0-250.jpg?w=640&q=75,Electronics-Shops
Bombay Electronics,"Akola Road Main Road Hingoli Siddharth Nagar, Hingoli",,4.2,22,,https://www.justdial.com/Hingoli/Bombay-Electronics-Siddharth-Nagar/9999P2456-2456-140608195645-C2A2_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/def_content/ac_dealers/default-ac-dealers-0-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content_category/washing-machine-dealers/dr-priyankar-anandam-arogyam-majhola-moradabad-gastroenterologists-xi419t036s-w-1-washing-machine-dealers-4-2qo1o-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content_category/washing-machine-dealers-voltas/washing-machine-dealers-voltas-2-washing-machine-dealers-voltas-2-tvepl-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content_category/washing-machine-dealers-voltas/voltas-7150042400-wfl7010vtss-grey--washing-machine-dealers-voltas-1-sc4fu-250.jpg?w=640&q=75,Electronics-Shops
Maharashtra Automobile,"Shirad Shahpur, Hingoli",Show Number,4.5,20,,https://www.justdial.com/Hingoli/Maharashtra-Automobile-Shirad-Shahpur/9999P2456-2456-171129172702-L9Q4_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/q4/9999p2456.2456.171129172702.l9q4/catalogue/maharashtra-automobile-shirad-shahpur-hingoli-electronic-goods-showrooms-yuiz15ym2s-250.jpg?w=640&q=75,Electronics-Shops
Sanket Enterprises And Mobile Shop,"Nagar Parishad Road Bhatt Colony, Hingoli",Show Number,4.9,17,,https://www.justdial.com/Hingoli/Sanket-Enterprises-And-Mobile-Shop-Near-Khurana-Petrol-Pump-Bhatt-Colony/9999P2456-2456-160709163155-A9F8_BZDET?trkid=&term=&ncatid=10185144&area=&search=Popular%20Electronic%20Goods%20Showrooms%20in%20Hingoli&mncatname=Electronic%20Goods%20Showrooms&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Electronic%20Goods%20Showrooms&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/f8/9999p2456.2456.160709163155.a9f8/catalogue/sanket-enterprises-and-mobile-shop-jiomart-digital-partner--hingoli-ho-hingoli-mobile-phone-dealers-sony-16fl1cxcvq-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/f8/9999p2456.2456.160709163155.a9f8/catalogue/sanket-enterprises-and-mobile-shop-hingoli-ho-hingoli-mobile-phone-dealers-sony-lx10njo6rw-250.jpg?w=640&q=75,Electronics-Shops
