name,address,phone,rating,review_count,timing,url,images,source_category
FIT&BOLT GYM & FITNESS CENTER,"New Tapdiya Estate Tapdiya Nagar, Hingoli",06366914846,4.9,57,,https://www.justdial.com/Hingoli/FITBOLT-GYM-FITNESS-CENTER-Ntc-Hingoli-Tapdiya-Nagar/9999P2456-2456-240717131624-Z5J8_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/j8/9999p2456.2456.240717131624.z5j8/catalogue/fit-and-bolt-gym-and-fitness-center-tapdiya-nagar-hingoli-gyms-nc2dr47wmb-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/j8/9999p2456.2456.240717131624.z5j8/catalogue/fit-and-bolt-gym-and-fitness-center-tapdiya-nagar-hingoli-gyms-5fgb9k4rqo-250.jpg?w=640&q=75,Gyms
B Professionel Fitness Point,"Akola Road Milind Colony, Hingoli",Show Number,4.8,44,,https://www.justdial.com/Hingoli/B-Professionel-Fitness-Point-Near-Mrf-Tyre-Showroom-Milind-Colony/9999P2456-2456-210220122940-D9V9_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/v9/9999p2456.2456.210220122940.d9v9/catalogue/b-professionel-fitness-point-hingoli-hingoli-fitness-centres-z1icb8ykr2-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/v9/9999p2456.2456.210220122940.d9v9/catalogue/b-professionel-fitness-point-hingoli-hingoli-fitness-centres-wwhao9ojl5-250.jpg?w=640&q=75,Gyms
Sai Swaraj Health Club,"Tapdiya Nagar, Hingoli",Show Number,4.5,46,,https://www.justdial.com/Hingoli/Sai-Swaraj-Health-Club-Tapdiya-Nagar/9999P2456-2456-220318212757-X3A7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a7/9999p2456.2456.220318212757.x3a7/catalogue/sai-swaraj-health-club-hingoli-gyms-n0vq6lbjtu-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a7/9999p2456.2456.220318212757.x3a7/catalogue/sai-swaraj-health-club-tapdiya-nagar-hingoli-gyms-wv1p6a7o3k-250.jpg?w=640&q=75,Gyms
Masterpiece Fitness Gym,"Hingoli Shree Nagar, Hingoli",Show Number,4.9,35,,https://www.justdial.com/Hingoli/Masterpiece-Fitness-Gym-Shree-Nagar/9999P2456-2456-240210062453-F3I4_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/v2/comp/hingoli/i4/9999p2456.2456.240210062453.f3i4/catalogue/masterpiece-fitness-gym-shree-nagar-hingoli-gyms-kmgs2n5af3-250.jpg?w=640&q=75,Gyms
Citizen Gym,"Jahagiri Basmat Jahagiri, Basmath",Show Number,4.3,36,,,https://images.jdmagicbox.com/comp/def_content/fitness-centres-for-women/fitness-centres-for-women8-fitness-centres-for-women-8-ck07a-250.jpg?w=640&q=75,Gyms
Fitness Point Aerobics Center Bhatt Colony Hingoli,"Bhatt Colony Hingoli Siddharth Nagar, Hingoli",,4.2,32,,https://www.justdial.com/Hingoli/Fitness-Point-Aerobics-Center-Bhatt-Colony-Hingoli-Siddharth-Nagar/9999P2456-2456-220416215913-U2Y5_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/fitness-centres-for-gents/6filz9ok5e-fitness-centres-for-gents-10-mqdrl-250.jpg?w=640&q=75,Gyms
Tukaram Gobara Rathod Farm Dargah,"Palsona Bhatsawangi, Hingoli",Show Number,4.8,27,,https://www.justdial.com/Hingoli/Tukaram-Gobara-Rathod-Farm-Dargah-Bhatsawangi/9999P2456-2456-180319161909-Q9R8_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/r8/9999p2456.2456.180319161909.q9r8/catalogue/tukaram-gobara-rathod-farm-dargah-hingoli-gyms-tbAtVr788V-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/r8/9999p2456.2456.180319161909.q9r8/catalogue/tukaram-gobara-rathod-farm-dargah-hingoli-gyms-Vnu6L5dBHw-250.jpg?w=640&q=75,Gyms
Sk Fitness Club,"Parbhani Hingoli Road, Hingoli",,4.3,19,,https://www.justdial.com/Hingoli/Sk-Fitness-Club/9999P2456-2456-251211101137-B5L9_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-185101301-gyms-5-ox3t0-250.jpg?w=640&q=75,Gyms
Dixit Ingole's Gym Club,"Tapdiya Nagar, Hingoli",Show Number,3.5,18,,https://www.justdial.com/Hingoli/Dixit-Ingoles-Gym-Club-Tapdiya-Nagar/9999P2456-2456-161117181921-G2H2_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-366605333-gyms-10-93ha4-250.jpg?w=640&q=75,Gyms
N.B.B Fitness Center,"Gadi Mohala, Basmath",,4.4,14,,,https://content.jdmagicbox.com/v2/comp/basmath/p4/9999p2456.2456.240127072910.s9p4/catalogue/n-b-b-fitness-center-gadi-mohala-basmath-gyms-j0ytq5zfsq-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/basmath/p4/9999p2456.2456.240127072910.s9p4/catalogue/n-b-b-fitness-center-gadi-mohala-basmath-gyms-1iae2jioxq-250.jpg?w=640&q=75,Gyms
M K Fitness Club,"Khajipura Basmat Khajipura, Basmath",Show Number,2.9,12,,,https://content.jdmagicbox.com/comp/basmath/x4/9999p2456.2456.181230063335.m6x4/catalogue/m-k-fitness-club-basmath-gyms-dtrmo9ys56-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/x4/9999p2456.2456.181230063335.m6x4/catalogue/m-k-fitness-club-basmath-gyms-ugb39mt8os-250.jpg?w=640&q=75,Gyms
Sai Gym,"Akola Bypass Road Mauli Nagar, Hingoli",,4.6,6,,https://www.justdial.com/Hingoli/Sai-Gym-Mauli-Nagar/9999P2456-2456-231019072707-Y6H7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/v2/comp/hingoli/h7/9999p2456.2456.231019072707.y6h7/catalogue/sai-gym-mauli-nagar-hingoli-gyms-cxatio9d6n-250.jpg?w=640&q=75,Gyms
Fitbeat Fitness & Gym,"Nanded Road, Basmath",Show Number,4.6,5,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-21-250.jpg?w=640&q=75,Gyms
