name,address,phone,rating,review_count,timing,url,images,source_category
"Hotel Dev Palace Lodging
3 Star Hotel
₹ 961
per night","Akola Road Tirupati Nagar, Hingoli",07383078558,4.3,1,,https://www.justdial.com/Hingoli/Hotel-Dev-Palace-Lodging-Risala-Bazar-Tirupati-Nagar/9999P2456-2456-130518183017-R2W6_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/w6/9999p2456.2456.130518183017.r2w6/catalogue/hotel-dev-palace-lodging-hingoli-hotels-rs-501-to-rs-1000--2yxomq6-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/w6/9999p2456.2456.130518183017.r2w6/catalogue/hotel-dev-palace-lodging-tirupati-nagar-hingoli-hotels-rs-501-to-rs-1000--enrc289gkn-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Hotels
"Hotel Shanti
₹ 1,888
per night","Akola Road Hingoli Tirupati Nagar, Hingoli",08401249122,4.8,150,,https://www.justdial.com/Hingoli/Hotel-Shanti-Above-Shanti-Honda-Tirupati-Nagar/9999P2456-2456-241220233917-M2B7_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/b7/9999p2456.2456.241220233917.m2b7/catalogue/hotel-shanti-tirupati-nagar-hingoli-lodging-services-a0sciqws5b-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/b7/9999p2456.2456.241220233917.m2b7/catalogue/hotel-shanti-tirupati-nagar-hingoli-banquet-halls-506nh1mved-250.jpg?w=640&q=75,Hotels
Shrikrupa Hotels and Mangal Karyalay,"Hingoli Parbhani Road Aundha Nagnath, Hingoli",Show Number,4.2,159,,https://www.justdial.com/Hingoli/Shrikrupa-Hotels-and-Mangal-Karyalay-Infront-Pf-Pwd-Resthouse-Aundha-Nagnath/9999P2456-2456-170515100726-P5P2_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/p2/9999p2456.2456.170515100726.p5p2/catalogue/shrikrupa-hotels-and-mangal-karyalay-aundha-nagnath-hingoli-hotels-1hyz7oeikx-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/p2/9999p2456.2456.170515100726.p5p2/catalogue/shrikrupa-hotels-and-mangal-karyalay-aundha-nagnath-hingoli-hotels-no4it0lour-250.jpg?w=640&q=75,Hotels
"Shivlila Celebration
₹ 1,609
per night","Akola Road Hingoli Washim Akola Road, Hingoli",07383045053,4.2,463,,https://www.justdial.com/Hingoli/Shivlila-Celebration-Besides-Hero-Showroom-Hingoli-Washim-Akola-Road/9999P2456-2456-200916153017-T7X6_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/x6/9999p2456.2456.200916153017.t7x6/catalogue/shivlila-palace-hingoli-lodging-services-0cggmob3yn-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/x6/9999p2456.2456.200916153017.t7x6/catalogue/shivlila-palace-hingoli-lodging-services-s8843tymlm-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/trust_2x.gif | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Hotels
"Sai Resort
₹ 1,360
per night","Akola-Nanded Ring Road Hingoli HO, Hingoli",Show Number,3.7,726,,https://www.justdial.com/Hingoli/Sai-Resort-Akola-By-Pass-Hingoli-Ho/9999P2456-2456-170903143442-I7J6_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/j6/9999p2456.2456.170903143442.i7j6/catalogue/sai-resort-hingoli-ho-hingoli-ac-lodging-services-pnaee-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/j6/9999p2456.2456.170903143442.i7j6/catalogue/sai-resort-hingoli-ho-hingoli-ac-lodging-services-g5x519x3ue-250.jpg?w=640&q=75,Hotels
Hotel Jijau,"Kesapur Sawad, Hingoli",,4.5,6,,https://www.justdial.com/Hingoli/Hotel-Jijau-Sawad/9999P2456-2456-250408085056-C4C3_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/hotels-seating/zgjobycm3w-hotels-seating-5-41jwh-250.jpg?w=640&q=75,Hotels
Ramkrishna Palace,"Akola Road Adgaon, Hingoli",Show Number,4.0,291,,https://www.justdial.com/Hingoli/Ramkrishna-Palace-Bypass-Chowk-Ramkrishn-Nagar-Adgaon/9999P2456-2456-180303000719-F5A1_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/a1/9999p2456.2456.180303000719.f5a1/catalogue/ramkrishna-palace-hingoli-hotels-vzz6xcau77-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a1/9999p2456.2456.180303000719.f5a1/catalogue/ramkrishna-palace-hingoli-hotels-ovvusk0dqv-250.jpg?w=640&q=75,Hotels
"Rw International Hotel
₹ 1,980
per night","Bhatt Colony Siddharth Nagar, Hingoli",Show Number,3.6,595,,https://www.justdial.com/Hingoli/Rw-International-Hotel-Near-Lic-Office-Road-Behind-Dr-Tapdiya-Hospital-Opposite-Gaytri-Bhavan-Siddharth-Nagar/9999P2456-2456-121211170633-A1H9_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/h9/9999p2456.2456.121211170633.a1h9/catalogue/rw-international-hotel-hingoli-hotels-jina0-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/h9/9999p2456.2456.121211170633.a1h9/catalogue/rw-international-hotel-hingoli-hotels-r406ns5rhz-250.jpg?w=640&q=75,Hotels
Tawakkal Boiler Form,"Pusegaon, Hingoli",Show Number,4.0,6,,https://www.justdial.com/Hingoli/Tawakkal-Boiler-Form-Pusegaon/9999P2456-2456-180225123214-B3J1_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/j1/9999p2456.2456.180225123214.b3j1/catalogue/tawakkal-boiler-form-pusegaon-hingoli-hotels-pzrxzokjmx-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/j1/9999p2456.2456.180225123214.b3j1/catalogue/tawakkal-boiler-form-pusegaon-hingoli-hotels-4wd4utwn0z-250.jpg?w=640&q=75,Hotels
Hotel Lakshadweep,"Nh161 Malhivara Siddharth Nagar, Hingoli",Show Number,4.7,195,,https://www.justdial.com/Hingoli/Hotel-Lakshadweep-Siddharth-Nagar/9999P2456-2456-240603212510-Q2M7_BZDET?trkid=&term=&ncatid=10255012&area=&search=Popular%20Hotels%20in%20Hingoli&mncatname=Hotels&ftterm=&abd_btn=Get%20Best%20Deal&abd_heading=Hotels&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/m7/9999p2456.2456.240603212510.q2m7/catalogue/hotel-lakshadweep-hingoli-hotels-lja8zis46w-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/m7/9999p2456.2456.240603212510.q2m7/catalogue/hotel-lakshadweep-hingoli-hotels-gidwuxtbsb-250.jpg?w=640&q=75,Hotels
