name,address,phone,rating,review_count,timing,url,images,source_category
Panchamrut Veg Restaurant,"Siddharth Nagar Basmath, Basmath",08460379851,5.0,3,,,https://content.jdmagicbox.com/v2/comp/hingoli/d1/9999p2456.2456.251015170630.e6d1/catalogue/panchamrut-veg-restaurant-basmath-basmath-restaurants-dx2lfi1r2q-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/d1/9999p2456.2456.251015170630.e6d1/catalogue/7arw282ivclxgzh-eem96os5nw-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Restaurants
Hotel Gavthi Dhaba,"Khatkali Bypass Siddharth Nagar, Hingoli",08460379665,4.7,21,,https://www.justdial.com/Hingoli/Hotel-Gavthi-Dhaba-Near-Madarsa-Nanded-Road-Hingoli-Siddharth-Nagar/9999P2456-2456-201203164544-H4S8_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/s8/9999p2456.2456.201203164544.h4s8/catalogue/hotel-gavthi-dhaba-hingoli-hingoli-restaurants-vvbary7cvk-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/s8/9999p2456.2456.201203164544.h4s8/catalogue/hotel-gavthi-dhaba-hingoli-hingoli-restaurants-wttdtkd6xt-250.jpg?w=640&q=75,Restaurants
Hotel Kanhaiya Pure Veg,"Nanded Malegaon Road Kurunda, Basmath",07411949658,4.1,907,,,https://content.jdmagicbox.com/comp/hingoli/e5/9999p2456.2456.161216174611.n5e5/catalogue/hotel-kanhaiya-pure-veg-basmath-punjabi-restaurants-q4o75jp9fv-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/e5/9999p2456.2456.161216174611.n5e5/catalogue/hotel-kanhaiya-pure-veg-basmath-road-basmathnagar-basmath-punjabi-restaurants-3xwv9z3igo-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/trust_2x.gif | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Restaurants
Hotel Sai Garden,"Aundha Road Hingoli HO, Hingoli",Show Number,3.9,49,,https://www.justdial.com/Hingoli/Hotel-Sai-Garden-Near-Baba-Motors-Hingoli-Ho/9999P2456-2456-180627212045-L3A6_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a6/9999p2456.2456.180627212045.l3a6/catalogue/hotel-sai-garden-hingoli-Jq8uTz3bMz2k87I-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/a6/9999p2456.2456.180627212045.l3a6/catalogue/hotel-sai-garden-hingoli-ho-hingoli-multicuisine-restaurants-BNyxsB6ugA-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Restaurants
Hotel NAGRAj PURE VEG .,"Jintur Road Aundha Nagnath, Hingoli",08460512737,4.0,42,,https://www.justdial.com/Hingoli/Hotel-NAGRAj-PURE-VEG-Aundha-T-Point-Pasun-100-Metar-Aundha-Nagnath/9999P2456-2456-240719195101-W3J9_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/j9/9999p2456.2456.240719195101.w3j9/catalogue/hotel-nagraj-pure-veg-aundha-nagnath-hingoli-restaurants-DYQzD1V9aP-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/j9/9999p2456.2456.240719195101.w3j9/catalogue/hotel-nagraj-pure-veg-aundha-nagnath-hingoli-restaurants-P0OhTze5dR-250.jpg?w=640&q=75,Restaurants
Hotel Nakshatra Family Gardan Pure Veg,"Malegaon RoadNear HP Petrol Pump Malwata, Basmath",08904950224,5.0,6,,,https://content.jdmagicbox.com/comp/hingoli/m1/9999p2456.2456.230106170539.w4m1/catalogue/-vxgitxhtre-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/m1/9999p2456.2456.230106170539.w4m1/catalogue/-2r19j6cuwz-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Restaurants
Hotel Raj Darbar,"Karkhana Road Patil Nagar, Basmath",08401287171,4.1,6,,,https://content.jdmagicbox.com/comp/hingoli/s5/9999p2456.2456.230828200433.c1s5/catalogue/hotel-raj-darbar-patil-nagar-basmath-restaurants-1pkf124sxe-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/s5/9999p2456.2456.230828200433.c1s5/catalogue/hotel-raj-darbar-patil-nagar-hingoli-restaurants-yyfgmy7wb7-250.jpg?w=640&q=75 | https://akam.cdn.jdmagicbox.com/images/icontent/newwap/web2022/verified_2x.gif,Restaurants
Maheshwari Bhojnalaya,"Bus Stand Aundha Nagnath, Hingoli",Show Number,4.9,77,,https://www.justdial.com/Hingoli/Maheshwari-Bhojnalaya-Near-Bramha-Kumaris-Center-Aundha-Nagnath/9999P2456-2456-240329072708-T2I1_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/i1/9999p2456.2456.240329072708.t2i1/catalogue/maheshwari-bhojnalaya-aundha-nagnath-hingoli-restaurants-eni6f39n8b-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/i1/9999p2456.2456.240329072708.t2i1/catalogue/maheshwari-bhojnalaya-aundha-nagnath-hingoli-restaurants-o9k4yd03gc-250.jpg?w=640&q=75,Restaurants
Hotel Shivsai,Hingoli,,3.7,15,,https://www.justdial.com/Hingoli/Hotel-Shivsai/9999P2456-2456-250805113650-Y9F4_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/restaurants/default-restaurants-6-250.jpg?w=640&q=75,Restaurants
Shivam Snacks Pure Veg Family Restaurant,"Shivaji Nagar, Hingoli",Show Number,4.1,376,,https://www.justdial.com/Hingoli/Shivam-Snacks-Pure-Veg-Family-Restaurant-Near-District-Court-Shivaji-Nagar/9999P2456-2456-220314233245-M7P1_BZDET?trkid=&term=&ncatid=10408936&area=&search=Best%20Restaurants%20in%20Hingoli%20-%20Order%20Food%20Online&mncatname=Restaurants&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/p1/9999p2456.2456.220314233245.m7p1/catalogue/shivam-snacks-pure-ver-family-restaurant-shivaji-nagar-hingoli-restaurants-g26b7rsqvq-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/p1/9999p2456.2456.220314233245.m7p1/catalogue/shivam-snacks-pure-ver-family-restaurant-shivaji-nagar-hingoli-restaurants-hvw3kl9b76-250.jpg?w=640&q=75,Restaurants
